Name_bal,BSE Code_bal,NSE Code_bal,Industry_bal,Current Price_bal,Debt,Equity capital,Preference capital,Reserves,Secured loan,Unsecured loan,Balance sheet total,Gross block,Revaluation reserve,Accumulated depreciation,Net block,Capital work in progress,Investments,Current assets,Current liabilities,Book value of unquoted investments,Market value of quoted investments,Contingent liabilities,Total Assets,Working capital,Lease liabilities,Inventory,Trade receivables,Face value,Cash Equivalents,Advance from Customers,Trade Payables,Number of equity shares preceding year,Debt preceding year,Working capital preceding year,Net block preceding year,Gross block preceding year,Capital work in progress preceding year,Working capital 3Years back,Working capital 5Years back,Working capital 7Years back,Working capital 10Years back,Debt 3Years back,Debt 5Years back,Debt 7Years back,Debt 10Years back,Net block 3Years back,Net block 5Years back,Net block 7Years back,Market Capitalization_bal,join_key,Name_rat,BSE Code_rat,NSE Code_rat,Industry_rat,Current Price_rat,Market Capitalization_rat,Price to Earning,Dividend yield,Price to book value,Return on assets,Debt to equity,Return on equity,Promoter holding,Earnings yield,Pledged percentage,Industry PE,Enterprise Value,Number of equity shares,Book value,Inventory turnover ratio,Quick ratio,Exports percentage,Piotroski score,G Factor,Asset Turnover Ratio,Financial leverage,Number of Shareholders,Unpledged promoter holding,Return on invested capital,Debtor days,Industry PBV,Credit rating,Working Capital Days,Earning Power,Graham Number,Cash Conversion Cycle,Days Payable Outstanding,Days Receivable Outstanding,Days Inventory Outstanding,Public holding,FII holding,Change in FII holding,Change in DII holding,DII holding,Book value preceding year,Return on capital employed preceding year,Return on assets preceding year,Return on equity preceding year,Number of Shareholders preceding quarter,t_1_price,future_return,signal
20 Microns,533022.0,20MICRONS,Mining / Minerals / Metals,225.45,121.37,17.64,0.0,335.31,82.32,39.05,588.44,366.29,0.0,154.06,212.23,12.26,17.4,332.0,189.54,0.0,0.0,17.73,588.44,247.69,5.75,112.83,125.52,5.0,60.3,2.97,62.03,3.53,107.83,179.63,213.47,357.6,7.51,106.23,89.1,80.74,50.93,104.16,124.45,152.01,176.64,202.58,194.99,177.0,795.54,533022.0_20MICRONS,20 Microns,533022.0,20MICRONS,Mining / Minerals / Metals,225.65,796.25,13.84,0.57,2.3,10.35,0.34,17.75,44.95,11.34,0.0,19.15,857.32,3.53,100.02,4.1,1.16,0.0,8.0,6.0,1.4,1.57,22492.0,44.95,15.11,58.93,3.52,,87.97,16.19,189.11,103.51,54.44,58.93,99.02,54.32,0.73,0.01,0.0,0.0,83.2,19.27,8.1,15.34,20546.0,229.42,0.01760922599245952,Hold
21st Cent. Mgmt.,526921.0,21STCENMGM,Finance & Investments,70.44,4.17,10.5,0.0,42.88,0.0,12.99,59.78,1.48,0.0,1.39,0.08,0.0,24.64,42.26,6.25,0.13,0.0,7.32,59.78,40.18,0.0,0.0,17.16,10.0,3.92,0.0,0.0,1.05,12.99,-6.34,0.09,1.48,0.0,33.05,40.64,-3.03,5.49,0.0,0.0,0.0,0.06,0.16,0.31,0.89,73.96,526921.0_21STCENMGM,21st Cent. Mgmt.,526921.0,21STCENMGM,Finance & Investments,70.44,73.96,2.3,3.54,1.39,64.72,0.08,88.07,64.25,47.01,0.0,23.18,74.21,1.05,50.84,,6.76,,6.0,5.0,0.7,0.93,5943.0,64.25,80.05,179.36,1.78,,379.01,55.17,187.38,179.36,,179.36,,35.75,0.0,0.0,0.0,0.0,18.87,-43.1,-38.53,-62.72,6333.0,72.33,0.026831345826235104,Hold
360 ONE,542772.0,360ONE,Finance & Investments,999.1,9471.93,35.89,0.0,3413.84,7636.08,1835.85,15114.36,1129.13,0.0,189.4,939.73,63.86,5947.67,1794.43,2123.91,5947.67,0.0,393.02,15114.36,-329.48,0.0,0.0,328.17,1.0,638.17,0.0,160.63,35.61,6783.67,495.2,879.75,1031.09,39.16,914.37,494.81,,,5076.69,6103.08,,,837.19,336.6,,36254.08,542772.0_360ONE,360 ONE,542772.0,360ONE,Finance & Investments,997.6,36199.65,45.05,1.63,10.36,6.11,2.75,24.47,17.76,3.72,31.3,23.18,45033.41,36.29,96.13,,0.84,0.0,3.0,6.0,0.22,3.81,46512.0,12.2,215.86,41.01,1.78,,-120.92,10.93,220.16,41.01,,41.01,0.0,10.7,63.22,0.74,-0.53,8.34,87.67,13.33,6.0,21.41,42622.0,1025.83,0.02675407867080363,Hold
3B Blackbio,532067.0,__NA__,Healthcare,1194.2,0.85,8.57,0.0,214.48,1.12,0.91,248.1,14.36,0.0,6.56,7.4,0.0,117.31,123.4,17.53,0.0,0.0,0.19,248.1,105.93,0.0,8.43,36.25,10.0,62.15,0.0,3.95,0.75,2.03,101.18,7.79,14.36,0.09,76.41,25.74,17.12,13.43,2.01,6.19,8.69,6.89,5.0,3.97,3.28,1024.98,532067.0___NA__,3B Blackbio,532067.0,__NA__,Healthcare,1184.5,1016.66,31.66,0.21,4.54,13.89,0.0,16.28,41.29,4.93,0.0,42.74,955.36,0.86,259.88,2.65,6.56,0.0,5.0,3.0,0.32,1.04,9753.0,41.29,28.4,178.51,5.67,,215.59,17.92,472.22,253.38,66.01,178.51,140.89,53.85,2.97,-0.41,0.71,1.89,228.05,19.06,12.77,16.0,10088.0,1329.94,0.11366605258750628,Buy
3C IT Solutions,544190.0,__NA__,Computers - Software - Medium / Small,44.1,13.4,0.36,0.0,3.74,9.54,3.86,28.85,1.21,0.0,0.73,0.48,0.0,0.0,28.37,14.15,0.0,0.0,0.0,28.85,17.01,0.0,15.83,10.23,5.0,0.29,0.86,9.17,0.0,10.4,12.75,0.24,0.69,0.0,,,,,,,,,,,,26.55,544190.0___NA__,3C IT Solutions,544190.0,__NA__,Computers - Software - Medium / Small,44.1,26.55,23.3,0.0,,3.59,3.27,33.98,51.67,9.87,0.0,34.11,39.66,0.6,,3.52,0.89,0.0,3.0,2.0,1.95,7.75,1006.0,51.67,16.03,60.29,3.7,,98.54,13.55,,103.37,59.31,60.29,102.39,48.34,0.0,,,0.0,,29.33,4.19,53.37,,45.14,0.023582766439909277,Hold
3i Infotech,532628.0,3IINFOLTD,Computers - Software - Medium / Small,36.88,84.48,169.23,0.0,124.21,38.09,61.15,663.99,1086.86,103.01,608.06,251.19,0.0,2.24,334.6,318.46,0.0,0.0,263.07,663.99,73.06,42.63,0.0,156.83,10.0,54.51,4.71,92.87,16.85,99.24,137.02,478.8,1086.86,41.81,736.87,229.93,159.33,-362.55,138.78,518.65,928.62,2646.69,387.71,806.33,806.39,624.23,532628.0_3IINFOLTD,3i Infotech,532628.0,3IINFOLTD,Computers - Software - Medium / Small,36.75,622.03,,0.0,2.12,-8.99,0.29,-15.71,0.0,-5.75,0.0,34.11,652.0,16.93,17.34,,1.05,0.0,4.0,3.0,1.0,2.79,272076.0,0.0,-11.48,70.33,3.7,,8.32,-5.61,,70.33,,70.33,,88.91,0.94,0.21,-0.02,10.15,38.16,2.59,0.31,0.45,280315.0,32.75,-0.11198481561822132,Sell
3M India,523395.0,3MINDIA,Diversified - Large,37310.0,17.93,11.27,0.0,2358.93,0.0,26.73,3398.54,583.53,0.0,261.12,317.75,12.32,504.8,2351.72,989.97,0.0,0.0,661.05,3398.54,1371.09,17.93,498.01,679.01,10.0,1118.07,4.28,768.97,1.13,26.73,960.24,322.42,583.53,24.57,1306.62,889.71,848.57,365.26,22.88,13.5,9.78,120.94,248.23,269.48,315.16,42048.39,523395.0_3MINDIA,3M India,523395.0,3MINDIA,Diversified - Large,37310.0,42048.39,78.43,0.43,17.74,16.99,0.01,24.84,75.0,1.79,0.0,23.87,40948.25,1.13,2104.02,4.43,1.87,0.0,9.0,4.0,1.24,1.33,29198.0,75.0,31.9,63.12,2.87,,23.52,21.23,4747.23,21.18,119.02,63.12,77.08,12.92,3.64,0.08,-0.08,8.44,1729.09,25.29,13.48,18.75,27610.0,41655.06,0.11645832216563917,Buy
3P Land Hold.,516092.0,3PLAND,Finance & Investments,38.18,0.0,3.6,0.0,95.12,0.0,0.0,104.35,0.87,0.0,0.32,0.46,0.0,84.98,0.26,0.07,0.0,0.0,1.83,104.35,0.19,0.0,0.0,0.0,2.0,0.22,0.0,0.0,1.8,0.0,0.11,0.55,0.87,0.0,1.16,0.89,0.0,34.54,0.0,2.37,18.01,54.24,0.74,1.01,1.32,68.73,516092.0_3PLAND,3P Land Hold.,516092.0,3PLAND,Finance & Investments,38.0,68.41,37.79,0.0,0.69,2.11,0.0,2.2,73.3,3.51,0.0,23.18,68.19,1.8,54.84,,3.71,0.0,5.0,5.0,0.04,0.87,8551.0,73.3,278.46,0.0,1.78,,-3.08,2.32,35.23,0.0,,0.0,,26.69,0.0,0.0,0.0,0.0,36.7,3.07,2.27,2.32,7528.0,36.98,-0.03143006809848096,Hold
52 Weeks Enter.,531925.0,__NA__,Entertainment / Electronic Media Software,1.69,3.62,34.88,0.0,-18.96,0.0,3.71,19.9,0.0,0.0,0.0,0.0,0.0,0.0,19.36,3.97,0.0,0.0,0.0,19.9,19.01,0.0,0.16,0.0,10.0,0.01,0.0,0.0,3.49,3.71,18.92,0.0,0.0,0.0,19.83,28.33,2.59,0.25,3.43,11.87,12.18,12.01,0.0,0.0,0.0,5.88,531925.0___NA__,52 Weeks Enter.,531925.0,__NA__,Entertainment / Electronic Media Software,1.69,5.88,34.69,0.0,0.37,0.85,0.23,1.07,9.43,1.84,0.0,41.23,9.49,3.49,4.56,0.0,4.84,,6.0,2.0,0.01,1.25,7278.0,9.43,0.89,0.0,2.96,,24767.86,0.85,2.24,0.0,,0.0,,90.57,0.0,0.0,0.0,0.0,4.52,-0.56,-0.55,-0.69,6424.0,1.55,-0.08284023668639048,Sell
5Paisa Capital,540776.0,5PAISA,Finance & Investments,513.0,336.32,31.19,0.0,508.7,169.28,0.0,2047.85,29.79,0.0,14.29,24.86,0.0,1.97,1830.72,1163.39,8.15,0.0,497.23,2047.85,667.33,0.0,0.0,0.03,10.0,1637.36,0.0,0.71,3.06,169.28,429.17,15.5,29.79,0.0,216.64,85.92,76.82,,233.93,92.01,0.0,,7.78,2.18,0.47,1600.69,540776.0_5PAISA,5Paisa Capital,540776.0,5PAISA,Finance & Investments,514.3,1604.75,29.47,0.0,2.97,2.95,0.62,10.85,32.8,33.61,0.0,17.68,303.71,3.12,173.09,,1.57,0.0,4.0,5.0,0.21,3.42,42465.0,32.8,10.98,0.03,2.85,,-897.33,4.92,260.72,0.03,,0.03,,44.24,22.66,0.29,0.09,0.29,151.22,12.42,2.68,10.6,33164.0,489.22,-0.04635477582845999,Hold
